,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
3,AgCrO3,Perovskite,0.83,2.36,4.26,1.31,1.5299999999999998,Ag1 Cr1 O3,,,,3
12,AgNbO3,Perovskite,-0.59,0.39,2.93,1.31,0.98,Ag1 Nb1 O3,mp-12725,1.3336000000000001,Ag-Nb-O,3
15,AgOsO3,Perovskite,0.35,1.39,3.58,1.26,1.04,Ag1 Os1 O3,,,,3
25,AgTaO3,Perovskite,0.04,1.47,3.35,1.98,1.43,Ag1 Ta1 O3,mp-1187189,1.7306000000000004,Ag-O-Ta,3
34,AlRhO3,Perovskite,-1.03,0.37,2.11,1.58,1.4,Al1 Rh1 O3,mp-1178547,1.7659000000000002,Al-O-Rh,3
41,BaCoO3,Perovskite,2.45,3.17,5.55,1.22,0.7199999999999998,Ba1 Co1 O3,mp-1076782,0.0,Ba-Co-O,3
55,BaNbO3,Perovskite,-0.56,0.23,3.08,1.63,0.79,Ba1 Nb1 O3,mp-3020,0.0,Ba-Nb-O,3
59,BaOsO3,Perovskite,0.26,1.36,3.72,1.12,1.1,Ba1 Os1 O3,mp-781625,0.0,Ba-O-Os,3
71,BaTaO3,Perovskite,-0.35,1.26,3.29,1.63,1.6099999999999999,Ba1 Ta1 O3,mp-754678,0.0,Ba-O-Ta,3
73,BaTcO3,Perovskite,0.66,1.96,3.86,1.19,1.2999999999999998,Ba1 Tc1 O3,mp-555174,0.0,Ba-O-Tc,3
102,CaNbO3,Perovskite,-0.19,0.96,3.34,1.53,1.15,Ca1 Nb1 O3,mp-4957,0.0,Ca-Nb-O,3
105,CaOsO3,Perovskite,0.41,1.31,3.73,1.15,0.9000000000000001,Ca1 Os1 O3,mp-1213970,0.0,Ca-O-Os,3
115,CaTaO3,Perovskite,-0.13,1.47,3.37,1.64,1.6,Ca1 Ta1 O3,,,,3
116,CaTcO3,Perovskite,0.68,2.03,3.89,1.24,1.3499999999999996,Ca1 Tc1 O3,mp-998543,0.0,Ca-O-Tc,3
126,CdCrO3,Perovskite,0.93,2.01,4.34,1.28,1.0799999999999996,Cd1 Cr1 O3,,,,3
133,CdNbO3,Perovskite,-0.2,0.92,3.21,1.65,1.12,Cd1 Nb1 O3,,,,3
136,CdOsO3,Perovskite,0.06,0.83,3.31,1.26,0.77,Cd1 Os1 O3,mp-1016882,0.0,Cd-O-Os,3
144,CdTaO3,Perovskite,-0.56,0.69,2.92,1.81,1.25,Cd1 Ta1 O3,,,,3
145,CdTcO3,Perovskite,0.43,1.76,3.59,1.34,1.33,Cd1 Tc1 O3,mp-1189706,0.0,Cd-O-Tc,3
149,CdVO3,Perovskite,0.68,1.82,4.17,1.32,1.1400000000000001,Cd1 V1 O3,mp-556857,0.0,Cd-O-V,3
155,CeCrO3,Perovskite,0.68,1.47,4.03,1.36,0.7899999999999999,Ce1 Cr1 O3,mp-780712,0.0,Ce-Cr-O,3
164,CeNbO3,Perovskite,-0.66,0.21,2.98,1.6,0.87,Ce1 Nb1 O3,,,,3
166,CeNpO3,Perovskite,0.96,2.48,4.1,1.73,1.52,Ce1 Np1 O3,,,,3
169,CePuO3,Perovskite,0.85,2.3,4.16,1.64,1.4499999999999997,Ce1 Pu1 O3,mp-1183759,0.0,Ce-O-Pu,3
174,CeTaO3,Perovskite,-0.73,0.49,2.97,1.86,1.22,Ce1 Ta1 O3,mp-1183701,0.0,Ce-O-Ta,3
176,CeUO3,Perovskite,0.68,2.13,3.97,1.57,1.4499999999999997,Ce1 U1 O3,,,,3
177,CeVO3,Perovskite,0.35,1.16,3.82,1.43,0.8099999999999999,Ce1 V1 O3,mp-22593,0.0,Ce-O-V,3
186,DyCrO3,Perovskite,0.63,1.4,3.97,1.43,0.7699999999999999,Dy1 Cr1 O3,mp-19381,2.2185000000000006,Cr-Dy-O,3
195,DyNbO3,Perovskite,-0.34,0.39,3.19,1.71,0.73,Dy1 Nb1 O3,,,,3
198,DyOsO3,Perovskite,0.09,0.82,3.46,1.31,0.73,Dy1 Os1 O3,,,,3
201,DyPuO3,Perovskite,0.69,2.32,4.0,1.74,1.63,Dy1 Pu1 O3,,,,3
202,DyReO3,Perovskite,-0.03,1.23,3.31,1.43,1.26,Dy1 Re1 O3,,,,3
208,DyTaO3,Perovskite,-0.4,0.62,3.21,1.96,1.02,Dy1 Ta1 O3,,,,3
209,DyTcO3,Perovskite,0.29,1.28,3.52,1.4,0.99,Dy1 Tc1 O3,,,,3
212,DyUO3,Perovskite,0.54,2.14,3.83,1.68,1.6,Dy1 U1 O3,,,,3
213,DyVO3,Perovskite,0.32,1.04,3.76,1.55,0.72,Dy1 V1 O3,mp-22789,1.3773,Dy-O-V,3
219,ErCrO3,Perovskite,0.57,1.32,3.95,1.44,0.7500000000000001,Er1 Cr1 O3,mp-19063,0.25710000000000033,Cr-Er-O,3
227,ErNbO3,Perovskite,-0.34,0.3,3.18,1.86,0.64,Er1 Nb1 O3,,,,3
231,ErPuO3,Perovskite,0.61,2.15,3.95,1.83,1.54,Er1 Pu1 O3,,,,3
236,ErTaO3,Perovskite,-0.45,0.43,3.15,2.09,0.88,Er1 Ta1 O3,mp-1184204,0.0,Er-O-Ta,3
238,ErUO3,Perovskite,0.45,1.96,3.77,1.78,1.51,Er1 U1 O3,,,,3
239,ErVO3,Perovskite,0.27,0.99,3.74,1.55,0.72,Er1 V1 O3,mp-19205,1.5838,Er-O-V,3
243,EuCrO3,Perovskite,0.71,1.48,4.09,1.38,0.77,Eu1 Cr1 O3,mp-754941,0.0,Cr-Eu-O,3
251,EuNbO3,Perovskite,-0.82,-0.04,2.79,1.6,0.7799999999999999,Eu1 Nb1 O3,mp-1078341,0.0,Eu-Nb-O,3
253,EuNpO3,Perovskite,1.04,2.62,4.25,1.63,1.58,Eu1 Np1 O3,mp-1213363,0.0,Eu-Np-O,3
254,EuOsO3,Perovskite,-0.09,0.68,3.27,1.29,0.77,Eu1 Os1 O3,mp-977370,0.0,Eu-O-Os,3
257,EuPuO3,Perovskite,0.93,2.37,4.28,1.58,1.44,Eu1 Pu1 O3,,,,3
258,EuReO3,Perovskite,-0.19,1.29,3.11,1.4,1.48,Eu1 Re1 O3,mp-976320,0.0,Eu-O-Re,3
264,EuTaO3,Perovskite,-0.75,0.37,2.91,1.79,1.12,Eu1 Ta1 O3,,,,3
265,EuTcO3,Perovskite,0.19,1.19,3.41,1.36,1.0,Eu1 Tc1 O3,mp-1184447,0.0,Eu-O-Tc,3
268,EuUO3,Perovskite,0.81,2.22,4.16,1.53,1.4100000000000001,Eu1 U1 O3,mp-1213318,0.0,Eu-O-U,3
269,EuVO3,Perovskite,0.37,1.15,3.91,1.47,0.7799999999999999,Eu1 V1 O3,mp-1178351,0.0,Eu-O-V,3
276,GdCrO3,Perovskite,0.58,1.34,3.93,1.43,0.7600000000000001,Gd1 Cr1 O3,mp-1147577,0.8250000000000002,Cr-Gd-O,3
284,GdNbO3,Perovskite,-0.35,0.42,3.19,1.79,0.77,Gd1 Nb1 O3,,,,3
286,GdNpO3,Perovskite,0.67,2.34,3.93,1.88,1.67,Gd1 Np1 O3,,,,3
288,GdPuO3,Perovskite,0.6,2.13,3.98,1.8,1.5299999999999998,Gd1 Pu1 O3,,,,3
