,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V","Reaction (HER, HRR, OER, ORR)",ΔGO*-ΔGOH*,ΔGOOH*-ΔGO*,composition,material id,band gap,chemsys,cluster
2,AgCoO3,Perovskite,1.59,3.28,4.66,0.92,OER,1.6899999999999997,1.3800000000000003,Ag1 Co1 O3,mp-753992,0.0,Ag-Co-O,3
5,AgFeO3,Perovskite,1.71,3.57,4.85,0.74,OER,1.8599999999999999,1.2799999999999998,Ag1 Fe1 O3,mp-1184234,0.0,Ag-Fe-O,3
8,AgIrO3,Perovskite,0.93,2.51,4.02,0.71,OER,1.5799999999999996,1.5099999999999998,Ag1 Ir1 O3,,,,3
9,AgMnO3,Perovskite,1.57,3.14,4.78,0.77,OER,1.57,1.6400000000000001,Ag1 Mn1 O3,mp-754229,0.0,Ag-Mn-O,3
20,AgRhO3,Perovskite,0.32,2.2,3.34,0.8,OER,1.8800000000000001,1.1399999999999997,Ag1 Rh1 O3,,,,3
21,AgRuO3,Perovskite,0.65,2.35,3.84,0.65,OER,1.7000000000000002,1.4899999999999998,Ag1 Ru1 O3,mp-776168,0.0,Ag-O-Ru,3
42,BaCrO3,Perovskite,1.47,2.56,4.79,1.01,OER,1.09,2.23,Ba1 Cr1 O3,mp-19271,0.0,Ba-Cr-O,3
51,BaIrO3,Perovskite,1.85,3.22,5.18,0.73,OER,1.37,1.9599999999999995,Ba1 Ir1 O3,mp-4307,0.0,Ba-Ir-O,3
52,BaIrO3,Perovskite,0.84,2.12,3.89,0.54,OER,1.2800000000000002,1.77,Ba1 Ir1 O3,mp-4307,0.0,Ba-Ir-O,3
53,BaMnO3,Perovskite,1.89,3.25,5.07,0.74,OER,1.36,1.8200000000000003,Ba1 Mn1 O3,mp-757501,0.0,Ba-Mn-O,3
63,BaPtO3,Perovskite,1.12,2.94,3.99,0.6,OER,1.8199999999999998,1.0500000000000003,Ba1 Pt1 O3,mp-1214788,0.4158999999999997,Ba-O-Pt,3
65,BaRhO3,Perovskite,0.66,2.19,3.52,0.3,OER,1.5299999999999998,1.33,Ba1 Rh1 O3,mp-7685,0.0,Ba-O-Rh,3
66,BaRuO3,Perovskite,0.5,1.96,3.46,0.27,OER,1.46,1.5,Ba1 Ru1 O3,mp-3597,0.0,Ba-O-Ru,3
81,BaVO3,Perovskite,1.07,2.31,4.53,0.99,OER,1.24,2.22,Ba1 V1 O3,mp-1017465,0.0,Ba-O-V,3
88,BeIrO3,Perovskite,1.65,3.08,4.95,0.64,OER,1.4300000000000002,1.87,Be1 Ir1 O3,,,,3
92,CaCoO3,Perovskite,2.07,3.54,5.02,1.05,OER,1.4700000000000002,1.4799999999999995,Ca1 Co1 O3,mp-1399298,0.0,Ca-Co-O,3
93,CaCrO3,Perovskite,1.15,2.51,4.46,1.09,OER,1.3599999999999999,1.9500000000000002,Ca1 Cr1 O3,mp-20772,0.40690000000000026,Ca-Cr-O,3
99,CaIrO3,Perovskite,1.0,2.47,4.21,0.72,OER,1.4700000000000002,1.7399999999999998,Ca1 Ir1 O3,mp-4243,0.0,Ca-Ir-O,3
100,CaMnO3,Perovskite,1.81,3.38,5.05,0.58,OER,1.5699999999999998,1.67,Ca1 Mn1 O3,mp-1017467,0.0,Ca-Mn-O,3
110,CaRhO3,Perovskite,0.47,2.23,3.45,0.8,OER,1.76,1.2200000000000002,Ca1 Rh1 O3,mp-1193602,0.0,Ca-O-Rh,3
111,CaRuO3,Perovskite,0.81,2.44,4.05,0.7,OER,1.63,1.6099999999999999,Ca1 Ru1 O3,mp-20947,0.0,Ca-O-Ru,3
121,CaVO3,Perovskite,0.93,2.16,4.36,0.97,OER,1.23,2.2,Ca1 V1 O3,mp-22608,0.43389999999999995,Ca-O-V,3
125,CdCoO3,Perovskite,1.87,3.14,4.9,0.96,OER,1.27,1.7600000000000002,Cd1 Co1 O3,mp-752746,0.0,Cd-Co-O,3
127,CdFeO3,Perovskite,1.92,3.45,5.04,0.77,OER,1.5300000000000002,1.5899999999999999,Cd1 Fe1 O3,mp-1639105,0.0,Cd-Fe-O,3
130,CdIrO3,Perovskite,0.74,2.08,3.88,0.73,OER,1.34,1.7999999999999998,Cd1 Ir1 O3,mp-2647004,0.0,Cd-Ir-O,3
131,CdMnO3,Perovskite,1.76,3.05,4.95,0.79,OER,1.2899999999999998,1.9000000000000004,Cd1 Mn1 O3,mp-1016854,0.0,Cd-Mn-O,3
141,CdRhO3,Perovskite,0.25,1.81,3.25,0.85,OER,1.56,1.44,Cd1 Rh1 O3,mp-1016875,0.0,Cd-O-Rh,3
142,CdRuO3,Perovskite,0.49,1.92,3.67,0.67,OER,1.43,1.75,Cd1 Ru1 O3,mp-1016849,0.0,Cd-O-Ru,3
154,CeCoO3,Perovskite,1.31,2.93,4.37,0.92,OER,1.62,1.44,Ce1 Co1 O3,,,,3
157,CeFeO3,Perovskite,1.49,3.15,4.64,0.71,OER,1.66,1.4899999999999998,Ce1 Fe1 O3,mp-864636,0.0,Ce-Fe-O,3
160,CeIrO3,Perovskite,0.35,1.68,3.64,0.73,OER,1.33,1.9600000000000002,Ce1 Ir1 O3,,,,3
162,CeMnO3,Perovskite,1.35,2.66,4.59,0.81,OER,1.31,1.9299999999999997,Ce1 Mn1 O3,mp-1183706,0.0,Ce-Mn-O,3
170,CeRhO3,Perovskite,-0.02,1.51,3.17,0.91,OER,1.53,1.66,Ce1 Rh1 O3,mp-1213826,0.0,Ce-O-Rh,3
171,CeRuO3,Perovskite,0.29,1.65,3.57,0.73,OER,1.3599999999999999,1.92,Ce1 Ru1 O3,,,,3
179,Co0.5Ir0.5O2,Bimetallic oxide,0.65,2.0,3.62,0.39,OER,1.35,1.62,Co0.5 Ir0.5 O2,,,,3
180,Co0.5Ir0.5O2,Bimetallic oxide,0.65,2.33,3.94,0.45,OER,1.6800000000000002,1.6099999999999999,Co0.5 Ir0.5 O2,,,,3
181,Co0.5Ir0.5O2,Bimetallic oxide,0.61,1.96,3.62,0.43,OER,1.35,1.6600000000000001,Co0.5 Ir0.5 O2,,,,3
185,DyCoO3,Perovskite,1.31,3.12,4.43,0.87,OER,1.81,1.3099999999999996,Dy1 Co1 O3,mp-22137,1.1923999999999997,Co-Dy-O,3
188,DyFeO3,Perovskite,1.26,3.23,4.47,0.67,OER,1.97,1.2399999999999998,Dy1 Fe1 O3,mp-22283,0.9134000000000002,Dy-Fe-O,3
192,DyIrO3,Perovskite,0.57,1.78,3.8,0.65,OER,1.21,2.0199999999999996,Dy1 Ir1 O3,,,,3
193,DyMnO3,Perovskite,1.19,2.73,4.4,0.76,OER,1.54,1.6700000000000004,Dy1 Mn1 O3,mp-542479,0.0,Dy-Mn-O,3
203,DyRhO3,Perovskite,0.08,1.46,3.27,0.76,OER,1.38,1.81,Dy1 Rh1 O3,mp-1212884,0.8883000000000001,Dy-O-Rh,3
204,DyRuO3,Perovskite,0.4,1.65,3.68,0.65,OER,1.25,2.0300000000000002,Dy1 Ru1 O3,,,,3
218,ErCoO3,Perovskite,1.25,3.03,4.38,0.86,OER,1.7799999999999998,1.35,Er1 Co1 O3,mp-562779,1.4471000000000003,Co-Er-O,3
221,ErFeO3,Perovskite,1.21,3.12,4.42,0.67,OER,1.9100000000000001,1.2999999999999998,Er1 Fe1 O3,mp-19935,1.3727,Er-Fe-O,3
224,ErIrO3,Perovskite,0.47,1.67,3.71,0.66,OER,1.2,2.04,Er1 Ir1 O3,mp-1184162,0.0,Er-Ir-O,3
225,ErMnO3,Perovskite,1.14,2.62,4.35,0.75,OER,1.4800000000000002,1.7299999999999995,Er1 Mn1 O3,mp-19217,0.24109999999999987,Er-Mn-O,3
232,ErRhO3,Perovskite,0.03,1.4,3.23,0.8,OER,1.3699999999999999,1.83,Er1 Rh1 O3,mp-1213022,0.9642,Er-O-Rh,3
233,ErRuO3,Perovskite,0.36,1.59,3.67,0.68,OER,1.23,2.08,Er1 Ru1 O3,,,,3
242,EuCoO3,Perovskite,1.55,3.02,4.68,0.96,OER,1.47,1.6599999999999997,Eu1 Co1 O3,mp-1212757,0.0,Co-Eu-O,3
245,EuFeO3,Perovskite,1.54,3.24,4.8,0.73,OER,1.7000000000000002,1.5599999999999996,Eu1 Fe1 O3,mp-504703,0.0,Eu-Fe-O,3
248,EuIrO3,Perovskite,0.53,1.68,3.76,0.69,OER,1.15,2.08,Eu1 Ir1 O3,mp-1184445,0.0,Eu-Ir-O,3
